;Unnamed: 0;Sentiment;Instagram Comment Text;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
0;0;0; <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!;username tolol gak ada hubungan nya keguguran dgn pake hijab syar yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar;['username', 'tolol', 'gak', 'ada', 'hubungan', 'nya', 'keguguran', 'dgn', 'pake', 'hijab', 'syar', 'yg', 'lo', 'bilang', 'bayi', 'nya', 'kepanasan', 'didalem', 'gak', 'ada', 'hubungan', 'nya', 'woyyyy', 'otak', 'sama', 'jempol', 'lo', 'gak', 'singkron', 'sih', 'ya', 'jadinya', 'asal', 'nulis', 'komentar'];['username', 'tolol', 'gak', 'ada', 'hubungan', 'nya', 'keguguran', 'dgn', 'pake', 'hijab', 'syar', 'yg', 'lo', 'bilang', 'bayi', 'nya', 'kepanasan', 'didalem', 'gak', 'ada', 'hubungan', 'nya', 'woyyyy', 'otak', 'sama', 'jempol', 'lo', 'gak', 'singkron', 'sih', 'ya', 'jadinya', 'asal', 'nulis', 'komentar'];username tolol gak ada hubungan nya keguguran dgn pake hijab syar yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar;username tolol gak ada hubungan nya keguguran dgn pake hijab syar yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar;username tolol gak hubung gugur dgn pake hijab syar lo bilang bayi panas dalem gak hubung woyyyy otak sama jempol lo gak singkron ya jadi asal nulis komentar
1;1;0;Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.;geblek lo tata cowo bgt dibelain balikan hadeww ntar ditinggal lg nyalahin tuh cowo padahal kitenya yg oon;['geblek', 'lo', 'tata', 'cowo', 'bgt', 'dibelain', 'balikan', 'hadeww', 'ntar', 'ditinggal', 'lg', 'nyalahin', 'tuh', 'cowo', 'padahal', 'kitenya', 'yg', 'oon'];['geblek', 'lo', 'tata', 'cowo', 'bgt', 'dibelain', 'balikan', 'hadeww', 'ntar', 'ditinggal', 'lg', 'nyalahin', 'tuh', 'cowo', 'padahal', 'kitenya', 'yg', 'oon'];geblek lo tata cowo bgt dibelain balikan hadeww ntar ditinggal lg nyalahin tuh cowo padahal kitenya yg oon;geblek lo tata cowo bgt dibelain balikan hadeww ntar ditinggal lg nyalahin tuh cowo padahal kitenya yg oon;geblek lo tata cowo bgt bain balik hadeww ntar tinggal lg nyalahin tuh cowo padahal kitenya oon
2;2;0;Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas;kmrn termewek skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas;['kmrn', 'termewek', 'skr', 'lengket', 'lg', 'duhhh', 'kok', 'labil', 'bgt', 'sih', 'mbak', 'kya', 'abege', 'ajah', 'ato', 'yg', 'kmrn', 'cari', 'sensasi', 'biar', 'top', 'markotoppp', 'ertong', 'gk', 'berkualitas'];['kmrn', 'termewek', 'skr', 'lengket', 'lg', 'duhhh', 'kok', 'labil', 'bgt', 'sih', 'mbak', 'kya', 'abege', 'ajah', 'ato', 'yg', 'kmrn', 'cari', 'sensasi', 'biar', 'top', 'markotoppp', 'ertong', 'gk', 'berkualitas'];kmrn termewek skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas;kmrn termewek skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas;kmrn mewek skr lengket lg duhhh kok labil bgt mbak kya abege ajah ato kmrn cari sensasi biar top markotoppp ertong gk kualitas
3;3;0;Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??;intinya kalau kesel dengan att nya gausah ke anaknya juga kasian buat perkembangan psikis anak kedepannya itu orang bener bener tolol skrg seandainya dia punya anak terus anaknya dikatain sama orang yang benci sama dia gimana perasaan dia benci sama seseorang boleh tapi harus tau batesnya toh namanya manusia gaakan semua jadi penyuka pasti ada haters;['intinya', 'kalau', 'kesel', 'dengan', 'att', 'nya', 'gausah', 'ke', 'anaknya', 'juga', 'kasian', 'buat', 'perkembangan', 'psikis', 'anak', 'kedepannya', 'itu', 'orang', 'bener', 'bener', 'tolol', 'skrg', 'seandainya', 'dia', 'punya', 'anak', 'terus', 'anaknya', 'dikatain', 'sama', 'orang', 'yang', 'benci', 'sama', 'dia', 'gimana', 'perasaan', 'dia', 'benci', 'sama', 'seseorang', 'boleh', 'tapi', 'harus', 'tau', 'batesnya', 'toh', 'namanya', 'manusia', 'gaakan', 'semua', 'jadi', 'penyuka', 'pasti', 'ada', 'haters'];['intinya', 'kalau', 'kesel', 'dengan', 'att', 'nya', 'gausah', 'ke', 'anaknya', 'juga', 'kasian', 'buat', 'perkembangan', 'psikis', 'anak', 'kedepannya', 'itu', 'orang', 'bener', 'bener', 'tolol', 'skrg', 'seandainya', 'dia', 'punya', 'anak', 'terus', 'anaknya', 'dikatain', 'sama', 'orang', 'yang', 'benci', 'sama', 'dia', 'gimana', 'perasaan', 'dia', 'benci', 'sama', 'seseorang', 'boleh', 'tapi', 'harus', 'tau', 'batesnya', 'toh', 'namanya', 'manusia', 'gaakan', 'semua', 'jadi', 'penyuka', 'pasti', 'ada', 'haters'];intinya kalau kesel dengan att nya gausah ke anaknya juga kasian buat perkembangan psikis anak kedepannya itu orang bener bener tolol skrg seandainya dia punya anak terus anaknya dikatain sama orang yang benci sama dia gimana perasaan dia benci sama seseorang boleh tapi harus tau batesnya toh namanya manusia gaakan semua jadi penyuka pasti ada haters;intinya kalau kesel dengan att nya gausah ke anaknya juga kasian buat perkembangan psikis anak kedepannya itu orang bener bener tolol skrg seandainya dia punya anak terus anaknya dikatain sama orang yang benci sama dia gimana perasaan dia benci sama seseorang boleh tapi harus tau batesnya toh namanya manusia gaakan semua jadi penyuka pasti ada haters;inti kalau kesel att gausah anak kasi buat kembang psikis anak depan orang bener bener tolol skrg anda punya anak terus anak dikatain sama orang benci sama gimana asa benci sama orang tapi tau batesnya nama manusia gaakan semua jadi suka ada haters
4;4;0;hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja;hadewwwww permpuan itu lg sakit jiwa knp harus dia yg jd peran utama di film hantu jeruk purut ky khabisan stok artis ja;['hadewwwww', 'permpuan', 'itu', 'lg', 'sakit', 'jiwa', 'knp', 'harus', 'dia', 'yg', 'jd', 'peran', 'utama', 'di', 'film', 'hantu', 'jeruk', 'purut', 'ky', 'khabisan', 'stok', 'artis', 'ja'];['hadewwwww', 'permpuan', 'itu', 'lg', 'sakit', 'jiwa', 'knp', 'harus', 'dia', 'yg', 'jd', 'peran', 'utama', 'di', 'film', 'hantu', 'jeruk', 'purut', 'ky', 'khabisan', 'stok', 'artis', 'ja'];hadewwwww permpuan itu lg sakit jiwa knp harus dia yg jd peran utama di film hantu jeruk purut ky khabisan stok artis ja;hadewwwww permpuan itu lg sakit jiwa knp harus dia yg jd peran utama di film hantu jeruk purut ky khabisan stok artis ja;hadewwwww permpuan lg sakit jiwa knp dia jd peran utama film hantu jeruk purut ky khabis stok artis ja
5;5;0;Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya;pantesan di tinggalin laki ya lakinya juga mikir kali kalau perempuannya kayagni ngurus diri aja dia gak becus gimana ngurus anak mending anak sama bapake nya aja bener didiknya;['pantesan', 'di', 'tinggalin', 'laki', 'ya', 'lakinya', 'juga', 'mikir', 'kali', 'kalau', 'perempuannya', 'kayagni', 'ngurus', 'diri', 'aja', 'dia', 'gak', 'becus', 'gimana', 'ngurus', 'anak', 'mending', 'anak', 'sama', 'bapake', 'nya', 'aja', 'bener', 'didiknya'];['pantesan', 'di', 'tinggalin', 'laki', 'ya', 'lakinya', 'juga', 'mikir', 'kali', 'kalau', 'perempuannya', 'kayagni', 'ngurus', 'diri', 'aja', 'dia', 'gak', 'becus', 'gimana', 'ngurus', 'anak', 'mending', 'anak', 'sama', 'bapake', 'nya', 'aja', 'bener', 'didiknya'];pantesan di tinggalin laki ya lakinya juga mikir kali kalau perempuannya kayagni ngurus diri aja dia gak becus gimana ngurus anak mending anak sama bapake nya aja bener didiknya;pantesan di tinggalin laki ya lakinya juga mikir kali kalau perempuannya kayagni ngurus diri aja dia gak becus gimana ngurus anak mending anak sama bapake nya aja bener didiknya;pantesan tinggalin laki laki mikir kali kalau perempuan kayagni ngurus diri aja gak becus gimana ngurus anak mending anak sama bapake aja bener didik
6;6;0;"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa";kebiasaan balajaer nyampah ig para artis suka yg punya ig lah mau bikin caption apa kok balajaer yg heboh dan asik ceramahin yg punya ig tar lama bikinin lagu sm teh melly loh balajaer yg berjudulketika balajaer bersabdademi seonggak koin laknat nya balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda rt nya gigi duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa minus segalanya lagi masih bela matian pd sakit jiwa;['kebiasaan', 'balajaer', 'nyampah', 'ig', 'para', 'artis', 'suka', 'yg', 'punya', 'ig', 'lah', 'mau', 'bikin', 'caption', 'apa', 'kok', 'balajaer', 'yg', 'heboh', 'dan', 'asik', 'ceramahin', 'yg', 'punya', 'ig', 'tar', 'lama', 'bikinin', 'lagu', 'sm', 'teh', 'melly', 'loh', 'balajaer', 'yg', 'berjudulketika', 'balajaer', 'bersabdademi', 'seonggak', 'koin', 'laknat', 'nya', 'balajaer', 'ngamuk', 'berarti', 'mengiyakan', 'banget', 'koin', 'laknat', 'nya', 'jd', 'penggoda', 'rt', 'nya', 'gigi', 'duh', 'elah', 'balajaer', 'kami', 'smua', 'tau', 'kale', 'kelakuan', 'biduan', 'lo', 'itu', 'kek', 'apa', 'minus', 'segalanya', 'lagi', 'masih', 'bela', 'matian', 'pd', 'sakit', 'jiwa'];['kebiasaan', 'balajaer', 'nyampah', 'ig', 'para', 'artis', 'suka', 'yg', 'punya', 'ig', 'lah', 'mau', 'bikin', 'caption', 'apa', 'kok', 'balajaer', 'yg', 'heboh', 'dan', 'asik', 'ceramahin', 'yg', 'punya', 'ig', 'tar', 'lama', 'bikinin', 'lagu', 'sm', 'teh', 'melly', 'loh', 'balajaer', 'yg', 'berjudulketika', 'balajaer', 'bersabdademi', 'seonggak', 'koin', 'laknat', 'nya', 'balajaer', 'ngamuk', 'berarti', 'mengiyakan', 'banget', 'koin', 'laknat', 'nya', 'jd', 'penggoda', 'rt', 'nya', 'gigi', 'duh', 'elah', 'balajaer', 'kami', 'smua', 'tau', 'kale', 'kelakuan', 'biduan', 'lo', 'itu', 'kek', 'apa', 'minus', 'segalanya', 'lagi', 'masih', 'bela', 'matian', 'pd', 'sakit', 'jiwa'];kebiasaan balajaer nyampah ig para artis suka yg punya ig lah mau bikin caption apa kok balajaer yg heboh dan asik ceramahin yg punya ig tar lama bikinin lagu sm teh melly loh balajaer yg berjudulketika balajaer bersabdademi seonggak koin laknat nya balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda rt nya gigi duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa minus segalanya lagi masih bela matian pd sakit jiwa;kebiasaan balajaer nyampah ig para artis suka yg punya ig lah mau bikin caption apa kok balajaer yg heboh dan asik ceramahin yg punya ig tar lama bikinin lagu sm teh melly loh balajaer yg berjudulketika balajaer bersabdademi seonggak koin laknat nya balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda rt nya gigi duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa minus segalanya lagi masih bela matian pd sakit jiwa;biasa balajaer nyampah ig artis suka punya ig mau bikin caption apa kok balajaer heboh asik ceramahin punya ig tar lama bikinin lagu sm teh melly balajaer berjudulketika balajaer bersabdademi seonggak koin laknat balajaer ngamuk arti iya banget koin laknat jd goda nya gigi duh elah balajaer smua tau kale laku biduan lo kek apa minus segala masih bela mati pd sakit jiwa
7;7;0;krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika;krn sebagian besar rakyat indonesia itu bodoh tdk bisa membedakan mana yg baik mana yg buruk sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika;['krn', 'sebagian', 'besar', 'rakyat', 'indonesia', 'itu', 'bodoh', 'tdk', 'bisa', 'membedakan', 'mana', 'yg', 'baik', 'mana', 'yg', 'buruk', 'sdh', 'tau', 'prilaku', 'buruk', 'tdk', 'tau', 'sopan', 'santun', 'itu', 'yg', 'dipilih', 'jd', 'panutan', 'lebih', 'mengidolakan', 'yg', 'murahan', 'dr', 'pd', 'yg', 'berkelas', 'dan', 'ber', 'etika'];['krn', 'sebagian', 'besar', 'rakyat', 'indonesia', 'itu', 'bodoh', 'tdk', 'bisa', 'membedakan', 'mana', 'yg', 'baik', 'mana', 'yg', 'buruk', 'sdh', 'tau', 'prilaku', 'buruk', 'tdk', 'tau', 'sopan', 'santun', 'itu', 'yg', 'dipilih', 'jd', 'panutan', 'lebih', 'mengidolakan', 'yg', 'murahan', 'dr', 'pd', 'yg', 'berkelas', 'dan', 'ber', 'etika'];krn sebagian besar rakyat indonesia itu bodoh tdk bisa membedakan mana yg baik mana yg buruk sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika;krn sebagian besar rakyat indonesia itu bodoh tdk bisa membedakan mana yg baik mana yg buruk sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika;krn bagi besar rakyat indonesia bodoh tdk beda mana baik mana buruk sdh tau prilaku buruk tdk tau sopan santun pilih jd panutan lebih idola murah dr pd yg kelas ber etika
8;8;0;ayu janda bego pny suami kpn nikah laginya?;ayu janda bego pny suami kpn nikah laginya;['ayu', 'janda', 'bego', 'pny', 'suami', 'kpn', 'nikah', 'laginya'];['ayu', 'janda', 'bego', 'pny', 'suami', 'kpn', 'nikah', 'laginya'];ayu janda bego pny suami kpn nikah laginya;ayu janda bego pny suami kpn nikah laginya;ayu janda bego pny suami kpn nikah lagi
9;9;0;Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan;anyiennnnggg suaranya ancur banget lebih merdu tukang gorengan;['anyiennnnggg', 'suaranya', 'ancur', 'banget', 'lebih', 'merdu', 'tukang', 'gorengan'];['anyiennnnggg', 'suaranya', 'ancur', 'banget', 'lebih', 'merdu', 'tukang', 'gorengan'];anyiennnnggg suaranya ancur banget lebih merdu tukang gorengan;anyiennnnggg suaranya ancur banget lebih merdu tukang gorengan;anyiennnnggg suara ancur banget lebih merdu tukang goreng
